Well,Isolate,SporeNumber
A1,63,twentyK
A2,63,twentyK
A3,63,twentyK
A4,39,twentyK
A5,39,twentyK
A6,39,twentyK
A7,34,twentyK
A8,34,twentyK
A9,34,twentyK
A10,control,zero
A11,blank,blank
A12,Contam,Contam
B1,63,fiveK
B2,63,fiveK
B3,63,fiveK
B4,39,fiveK
B5,39,fiveK
B6,39,fiveK
B7,34,fiveK
B8,34,fiveK
B9,34,fiveK
B10,blank,blank
B11,control,zero
B12,blank,blank
C1,63,twelveH
C2,63,twelveH
C3,63,twelveH
C4,39,twelveH
C5,39,twelveH
C6,39,twelveH
C7,34,twelveH
C8,34,twelveH
C9,34,twelveH
C10,control,zero
C11,blank,blank
C12,Contam,Contam
D1,63,threeH
D2,63,threeH
D3,63,threeH
D4,39,threeH
D5,39,threeH
D6,39,threeH
D7,34,threeH
D8,34,threeH
D9,34,threeH
D10,blank,blank
D11,control,zero
D12,blank,blank
E1,63,eighty
E2,63,eighty
E3,63,eighty
E4,39,eighty
E5,39,eighty
E6,39,eighty
E7,34,eighty
E8,34,eighty
E9,34,eighty
E10,control,zero
E11,blank,blank
E12,control,zero
F1,63,twenty
F2,63,twenty
F3,63,twenty
F4,39,twenty
F5,39,twenty
F6,39,twenty
F7,34,twenty
F8,34,twenty
F9,34,twenty
F10,blank,blank
F11,control,zero
F12,blank,blank
G1,63,four
G2,63,four
G3,63,four
G4,39,four
G5,39,four
G6,39,four
G7,34,four
G8,34,four
G9,34,four
G10,control,zero
G11,blank,blank
G12,Contam,Contam
H1,63,zero
H2,63,zero
H3,63,zero
H4,39,zero
H5,39,zero
H6,39,zero
H7,34,zero
H8,34,zero
H9,34,zero
H10,blank,blank
H11,Contam,Contam
H12,blank,blank
